order_id,item_id,product_id,quantity,list_price,discount,Extraction_Date,source,extraction_time
1,1,20,1,599.99,0.2,1714563465,Database,2026-03-25 05:35:38.931420
1,2,8,2,1799.99,0.07,1714563465,Database,2026-03-25 05:35:38.931420
1,3,10,2,1549.0,0.05,1714563465,Database,2026-03-25 05:35:38.931420
1,4,16,2,599.99,0.05,1714563465,Database,2026-03-25 05:35:38.931420
1,5,4,1,2899.99,0.2,1714563465,Database,2026-03-25 05:35:38.931420
2,1,20,1,599.99,0.07,1714563465,Database,2026-03-25 05:35:38.931420
2,2,16,2,599.99,0.05,1714563465,Database,2026-03-25 05:35:38.931420
3,1,3,1,999.99,0.05,1714563465,Database,2026-03-25 05:35:38.931420
3,2,20,1,599.99,0.05,1714563465,Database,2026-03-25 05:35:38.931420
4,1,2,2,749.99,0.1,1714563465,Database,2026-03-25 05:35:38.931420
5,1,10,2,1549.0,0.05,1714563465,Database,2026-03-25 05:35:38.931420
2,2,16,2,599.99,0.05,1714563465,Database,2026-03-25 05:35:38.931420
3,1,3,1,999.99,0.05,1714563465,Database,2026-03-25 05:35:38.931420
5,2,17,1,429.0,0.07,1714563465,Database,2026-03-25 05:35:38.931420
5,3,26,1,599.99,0.07,1714563465,Database,2026-03-25 05:35:38.931420
6,1,18,1,449.0,0.07,1714563465,Database,2026-03-25 05:35:38.931420
6,2,12,2,549.99,0.05,1714563465,Database,2026-03-25 05:35:38.931420
6,3,20,1,599.99,0.1,1714563465,Database,2026-03-25 05:35:38.931420
6,4,3,2,999.99,0.07,1714563465,Database,2026-03-25 05:35:38.931420
6,5,9,2,2999.99,0.07,1714563465,Database,2026-03-25 05:35:38.931420
7,1,15,1,529.99,0.07,1714563465,Database,2026-03-25 05:35:38.931420
7,2,3,1,999.99,0.1,1714563465,Database,2026-03-25 05:35:38.931420
7,3,17,2,429.0,0.1,1714563465,Database,2026-03-25 05:35:38.931420
6,5,9,2,2999.99,0.07,1714563465,Database,2026-03-25 05:35:38.931420
7,1,15,1,529.99,0.07,1714563465,Database,2026-03-25 05:35:38.931420
7,2,3,1,999.99,0.1,1714563465,Database,2026-03-25 05:35:38.931420
7,3,17,2,429.0,0.1,1714563465,Database,2026-03-25 05:35:38.931420
8,1,22,1,269.99,0.05,1714563465,Database,2026-03-25 05:35:38.931420
8,2,20,2,599.99,0.07,1714563465,Database,2026-03-25 05:35:38.931420
9,1,7,2,3999.99,0.1,1714563465,Database,2026-03-25 05:35:38.931420
10,1,14,1,269.99,0.1,1714563465,Database,2026-03-25 05:35:38.931420
11,1,8,1,1799.99,0.05,1714563465,Database,2026-03-25 05:35:38.931420
11,2,22,2,269.99,0.1,1714563465,Database,2026-03-25 05:35:38.931420
11,3,16,2,599.99,0.2,1714563465,Database,2026-03-25 05:35:38.931420
12,1,4,2,2899.99,0.1,1714563465,Database,2026-03-25 05:35:38.931420
